	chao1	observed_otus	shannon
Agile	413.344827586	321.0	3.90967269898
Amber	438.103448276	329.0	4.55799315521
Apple	449.775510204	316.0	3.63086601363
Brave	397.733333333	281.0	4.55381849384
Cedar	473.5	331.0	4.87633692991
Crown	419.96875	328.0	4.34825918295
Dance	374.065217391	287.0	4.10955535442
Drive	431.142857143	302.0	4.08560923517
Dwell	442.0	310.0	4.5388206068
Eagle	395.636363636	292.0	3.03344853364
Earth	353.322580645	227.0	4.16221743847
Fleet	460.909090909	320.0	4.54607877263
Giant	423.192307692	310.0	4.17824835285
Glint	409.441860465	292.0	4.0639836368
Grace	422.47826087	355.0	3.60276967174
Honor	414.178571429	311.0	4.20626111542
Inlet	465.666666667	307.0	3.35521000592
Joker	445.0	332.0	4.53318820382
Kneel	387.096774194	255.0	4.63380583161
Knife	478.685185185	342.0	4.65091989517
Latch	402.333333333	281.0	4.61794003409
Lemon	471.936170213	299.0	4.53697729528
Magic	485.790697674	336.0	4.25267164458
Mover	324.0	219.0	3.30276000695
North	474.0625	262.0	4.03876353931
Novel	64.1428571429	37.0	3.20868214054
Ocean	444.421875	342.0	4.40578337956
Outer	422.447368421	324.0	3.89827881898
Overt	415.277777778	275.0	3.46617016338
Paint	439.06	301.0	4.31661835463
Quiet	393.3	304.0	4.00543822429
Quirk	388.02	285.0	3.81587025999
Roast	435.451612903	266.0	3.5020063547
Rocky	425.452054795	359.0	4.16413196674
Shore	395.222222222	296.0	4.37020840142
Smart	422.549019608	305.0	4.00413120431
Spark	433.607142857	246.0	4.29683571359
Storm	387.285714286	243.0	4.59862207046
Trend	467.75	301.0	4.23757059542
Truce	121.2	51.0	3.46155672885
Unity	57.8571428571	36.0	2.41380269463
Value	118.6	69.0	2.85125817763
Vapor	496.111111111	336.0	4.15943549335
Water	473.534883721	313.0	4.2972088021
Woven	438.025641026	267.0	4.41326047137
Zebra	384.9	303.0	3.91402721285
