	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
Agile	0.0	0.383084577114	0.415422885572	0.411609498681	0.421307506053	0.472941176471	0.4	0.469287469287	0.373711340206	0.386842105263	0.518918918919	0.405472636816	0.414572864322	0.440203562341	0.390476190476	0.450980392157	0.410126582278	0.407317073171	0.439024390244	0.382926829268	0.444444444444	0.426395939086	0.373762376238	0.528610354223	0.477806788512	0.888198757764	0.40625	0.354591836735	0.435695538058	0.437185929648	0.441396508728	0.454081632653	0.434666666667	0.384798099762	0.376315789474	0.398976982097	0.483957219251	0.487935656836	0.405128205128	0.848297213622	0.908256880734	0.8	0.428229665072	0.418952618454	0.460732984293	0.4
Amber	0.383084577114	0.0	0.383458646617	0.431876606684	0.398058252427	0.428229665072	0.428571428571	0.449631449631	0.433823529412	0.419847328244	0.497297297297	0.447368421053	0.414392059553	0.455223880597	0.351807228916	0.442822384428	0.402010050251	0.355721393035	0.446808510638	0.424882629108	0.427835051546	0.449382716049	0.412887828162	0.498630136986	0.507575757576	0.900900900901	0.371359223301	0.371571072319	0.467005076142	0.413098236776	0.459854014599	0.468827930175	0.450520833333	0.354066985646	0.401534526854	0.418952618454	0.454301075269	0.494736842105	0.459657701711	0.855421686747	0.907185628743	0.811940298507	0.416666666667	0.399002493766	0.451948051948	0.366925064599
Apple	0.415422885572	0.383458646617	0.0	0.420634920635	0.444711538462	0.451923076923	0.387700534759	0.470297029703	0.435	0.432989690722	0.520435967302	0.421836228288	0.394871794872	0.460759493671	0.375302663438	0.466992665037	0.426767676768	0.4039408867	0.477333333333	0.440758293839	0.449350649351	0.454773869347	0.432692307692	0.509749303621	0.521739130435	0.88643533123	0.39119804401	0.387909319899	0.507575757576	0.437974683544	0.426395939086	0.451030927835	0.44385026738	0.408018867925	0.402088772846	0.443609022556	0.485175202156	0.525065963061	0.430025445293	0.845911949686	0.913580246914	0.819018404908	0.40586797066	0.415617128463	0.457671957672	0.4525
Brave	0.411609498681	0.431876606684	0.420634920635	0.0	0.477611940299	0.469849246231	0.435261707989	0.477806788512	0.444736842105	0.425824175824	0.527536231884	0.451030927835	0.428191489362	0.417127071823	0.413965087282	0.458333333333	0.448548812665	0.411917098446	0.464183381089	0.454094292804	0.489247311828	0.453333333333	0.384816753927	0.516320474777	0.520435967302	0.888111888112	0.4425	0.407894736842	0.509383378016	0.480417754569	0.452380952381	0.47027027027	0.480555555556	0.435207823961	0.44474393531	0.445623342175	0.489971346705	0.507122507123	0.422764227642	0.839160839161	0.903114186851	0.821548821549	0.441919191919	0.424403183024	0.438746438746	0.430107526882
Cedar	0.421307506053	0.398058252427	0.444711538462	0.477611940299	0.0	0.415865384615	0.462686567164	0.456097560976	0.389447236181	0.422784810127	0.515957446809	0.396551724138	0.42118226601	0.422784810127	0.36276849642	0.430317848411	0.436274509804	0.413875598086	0.477922077922	0.386091127098	0.434782608696	0.428927680798	0.400479616307	0.560209424084	0.45974025974	0.904761904762	0.408983451537	0.406326034063	0.409448818898	0.447174447174	0.439803439803	0.448362720403	0.457364341085	0.372641509434	0.4325	0.417910447761	0.485564304462	0.473404255319	0.391857506361	0.859701492537	0.914201183432	0.823529411765	0.384987893462	0.436893203883	0.474489795918	0.43842364532
Crown	0.472941176471	0.428229665072	0.451923076923	0.469849246231	0.415865384615	0.0	0.4625	0.396946564885	0.420792079208	0.442211055276	0.52	0.423357664234	0.436274509804	0.418367346939	0.389150943396	0.357326478149	0.447432762836	0.443396226415	0.49354005168	0.404761904762	0.446428571429	0.436408977556	0.384428223844	0.55672823219	0.451443569554	0.897280966767	0.427230046948	0.436450839329	0.465648854962	0.450738916256	0.423940149626	0.420103092784	0.469072164948	0.413394919169	0.474327628362	0.440886699507	0.477453580902	0.481382978723	0.415617128463	0.872023809524	0.916666666667	0.818452380952	0.344139650873	0.462829736211	0.438320209974	0.449631449631
Dance	0.4	0.428571428571	0.387700534759	0.435261707989	0.462686567164	0.4625	0.0	0.474093264249	0.46529562982	0.382681564246	0.527220630372	0.455470737913	0.441253263708	0.430894308943	0.386934673367	0.474489795918	0.436842105263	0.432911392405	0.47323943662	0.4275	0.485333333333	0.469973890339	0.41475826972	0.520467836257	0.536	0.878892733564	0.41959798995	0.370666666667	0.497326203209	0.444444444444	0.452879581152	0.502617801047	0.450980392157	0.428223844282	0.380555555556	0.450261780105	0.463976945245	0.507042253521	0.456692913386	0.826388888889	0.897610921502	0.805369127517	0.430730478589	0.421052631579	0.490463215259	0.43085106383
Drive	0.469287469287	0.449631449631	0.470297029703	0.477806788512	0.456097560976	0.396946564885	0.474093264249	0.0	0.422680412371	0.488549618321	0.530555555556	0.437185929648	0.466165413534	0.473007712082	0.424460431655	0.411917098446	0.454314720812	0.453658536585	0.530343007916	0.436893203883	0.49354005168	0.458974358974	0.416873449132	0.572602739726	0.515789473684	0.902912621359	0.429268292683	0.454320987654	0.520512820513	0.484924623116	0.396825396825	0.442970822281	0.513089005236	0.441037735849	0.489898989899	0.533816425121	0.486187845304	0.498622589532	0.441860465116	0.875796178344	0.902597402597	0.81847133758	0.428571428571	0.450881612091	0.50656167979	0.4875
Dwell	0.373711340206	0.433823529412	0.435	0.444736842105	0.389447236181	0.420792079208	0.46529562982	0.422680412371	0.0	0.452442159383	0.495798319328	0.440594059406	0.45	0.444444444444	0.393719806763	0.431818181818	0.434010152284	0.418719211823	0.481182795699	0.40586797066	0.456919060052	0.454314720812	0.389027431421	0.538674033149	0.474666666667	0.898412698413	0.374064837905	0.382653061224	0.484455958549	0.429305912596	0.453400503778	0.478260869565	0.426229508197	0.384057971014	0.454081632653	0.443037974684	0.485013623978	0.484931506849	0.433333333333	0.857594936709	0.908517350158	0.82298136646	0.447115384615	0.450248756219	0.485564304462	0.444162436548
Eagle	0.386842105263	0.419847328244	0.432989690722	0.425824175824	0.422784810127	0.442211055276	0.382681564246	0.488549618321	0.452442159383	0.0	0.491279069767	0.442748091603	0.407407407407	0.459102902375	0.402469135802	0.461734693878	0.440104166667	0.416243654822	0.463483146067	0.43842364532	0.442934782609	0.448818897638	0.410126582278	0.54415954416	0.478021978022	0.884745762712	0.43842364532	0.366047745358	0.483957219251	0.431216931217	0.479591836735	0.501298701299	0.432584269663	0.431325301205	0.393442622951	0.437172774869	0.467236467236	0.492957746479	0.439473684211	0.848993288591	0.910299003322	0.816393442623	0.437810945274	0.428571428571	0.476839237057	0.425925925926
