	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
Agile	0.0	0.587335774284	0.323348134403	0.600936711901	0.510120747532	0.50558944492	0.604580406041	0.621628245386	0.587607546784	0.413564219198	0.56882407873	0.538856775851	0.537182222764	0.698891300522	0.366995218113	0.628206121658	0.533375585223	0.494894153041	0.638339485428	0.365795751841	0.604733727811	0.599175459058	0.639868951613	0.503738752539	0.505541636588	0.992734716815	0.39070327553	0.366802975809	0.596160991834	0.523014695681	0.627014696533	0.562989250894	0.447920623925	0.326391041891	0.497849200552	0.475759987645	0.555526381431	0.555391432792	0.466176667112	0.985840283194	0.989662840315	0.957013396375	0.436365422879	0.338431790036	0.63691891126	0.444594007356
Amber	0.587335774284	0.0	0.542151663903	0.496174952018	0.507020094398	0.467398155714	0.441021436102	0.594470304526	0.519080365391	0.682490421982	0.42479115602	0.43373307029	0.444915254237	0.501931803449	0.606435405713	0.600476917606	0.512396815389	0.396617190197	0.344128801098	0.462655746885	0.32971991832	0.51467754732	0.498124907722	0.635024270185	0.551823322933	0.982477849824	0.461407417114	0.568777271405	0.689858519785	0.626673741378	0.62743083004	0.642453024985	0.514989561587	0.525230188774	0.433130939214	0.537172813256	0.537294835439	0.534828981243	0.529630366979	0.965551084503	0.975559278605	0.913611203104	0.519258615696	0.465874325255	0.4	0.479003800637
Apple	0.323348134403	0.542151663903	0.0	0.588991396289	0.538353351523	0.470717469085	0.557554975304	0.654683383141	0.564967530602	0.323074953048	0.597969476434	0.471712978395	0.510459737176	0.672620849733	0.301164973969	0.673605450099	0.512818210389	0.441664955158	0.554814466886	0.444158240744	0.494946826078	0.528521321765	0.598166344011	0.456856052496	0.563451940626	0.991190499367	0.354210965467	0.33436387225	0.692422766148	0.448727152895	0.668060820546	0.63718461028	0.31338219999	0.353624222249	0.434133022457	0.598250381072	0.659207853256	0.567240652463	0.533163882837	0.982698039596	0.98747055824	0.957407319279	0.478592262396	0.442150744119	0.565934767928	0.466448636337
Brave	0.600936711901	0.496174952018	0.588991396289	0.0	0.459053916582	0.470532080591	0.433679644947	0.435172984402	0.491222694042	0.629509699974	0.451411252131	0.412033076704	0.426128881956	0.404434939217	0.676616345355	0.504890794587	0.651057170037	0.522609279883	0.495394473368	0.438455141828	0.299361318849	0.433383634328	0.501621481385	0.664125164477	0.333807079879	0.979503901246	0.471937762959	0.475770562057	0.679491305075	0.650739569854	0.502554077064	0.467324508271	0.639200647363	0.655750902433	0.418713960362	0.51512799115	0.481743606241	0.442737578133	0.356014984115	0.961035218168	0.970460469157	0.901811354098	0.430709920846	0.474462139322	0.418872080593	0.609316498371
Cedar	0.510120747532	0.507020094398	0.538353351523	0.459053916582	0.0	0.385961603742	0.529313866404	0.454953874338	0.507893932706	0.556773556268	0.583401431049	0.397728916534	0.421727945289	0.508983509722	0.616874202172	0.482982171799	0.569278261091	0.519482811172	0.525238847514	0.37366896859	0.403546070841	0.414061061393	0.584801162157	0.715599935952	0.353392560773	0.988418766862	0.383693874984	0.478334088995	0.59948959949	0.665243910649	0.498774489645	0.37080568397	0.584163502983	0.595983775517	0.427019488384	0.413470894404	0.541655651316	0.472614563716	0.310263908444	0.976970133141	0.983008036739	0.935074055158	0.360210370084	0.44036242461	0.545939080538	0.541893028285
Crown	0.50558944492	0.467398155714	0.470717469085	0.470532080591	0.385961603742	0.0	0.395094289859	0.450084470435	0.471083682658	0.541646834841	0.523682673209	0.257772399115	0.37284666244	0.496737396684	0.553687549564	0.503674436981	0.510645488341	0.417056351098	0.518364851291	0.316410093901	0.395856873823	0.388680531879	0.435138230002	0.613411392508	0.292241713621	0.984532499131	0.307095856304	0.372687483909	0.619015694772	0.628470197784	0.510006927153	0.424350643015	0.512219244513	0.560490489524	0.361405891841	0.405985811152	0.467393286198	0.438873342814	0.295626822157	0.969988357552	0.977842212317	0.9248434238	0.265309112218	0.413953773527	0.458938250756	0.464753697863
Dance	0.604580406041	0.441021436102	0.557554975304	0.433679644947	0.529313866404	0.395094289859	0.0	0.493281148076	0.589123749465	0.567098534828	0.630249736194	0.395093770931	0.325074925075	0.2533714951	0.62073897497	0.460392312265	0.550898879576	0.493659800398	0.451318902813	0.454445131841	0.357287975431	0.515413228441	0.365637319317	0.664906573376	0.385354911072	0.984343566868	0.475392296719	0.352400973667	0.716889938955	0.681814776524	0.403037756041	0.425557317049	0.509961943139	0.596740260682	0.473874717881	0.489295513728	0.515718030522	0.531025593813	0.41566743263	0.969358968795	0.977261837348	0.93218487395	0.412244298358	0.404614864657	0.538604600279	0.516449272136
Drive	0.621628245386	0.594470304526	0.654683383141	0.435172984402	0.454953874338	0.450084470435	0.493281148076	0.0	0.604734528238	0.68578648321	0.685980573803	0.482344858047	0.540181545636	0.434059348049	0.684290449282	0.491196170046	0.706561408455	0.608797555769	0.608762072448	0.533987571992	0.467301101765	0.480618790089	0.405931198102	0.760175814435	0.379663975562	0.978286940605	0.54746519355	0.562207393285	0.687917441525	0.764459626913	0.449740484429	0.447379169503	0.687003512564	0.733520077164	0.507197756803	0.527412542832	0.603631364369	0.581606039808	0.451563150293	0.963416156824	0.967741935484	0.908565297729	0.504753873722	0.601005665478	0.622545700745	0.664745055164
Dwell	0.587607546784	0.519080365391	0.564967530602	0.491222694042	0.507893932706	0.471083682658	0.589123749465	0.604734528238	0.0	0.667230973061	0.519013867488	0.461993086273	0.525415404764	0.586821278937	0.614250674516	0.658796460177	0.584035580524	0.422574335541	0.543058404614	0.480656773547	0.458602150538	0.502007271626	0.642558390902	0.65497537239	0.488907214836	0.987818383167	0.470777652552	0.558598028478	0.683148605876	0.638949581564	0.642015077665	0.581849692768	0.593075487108	0.60002704652	0.450449090497	0.534095400718	0.50029869119	0.439346780387	0.479591836735	0.976815383028	0.982267913202	0.931210191083	0.486344398889	0.519993251223	0.439907966098	0.551396777401
Eagle	0.413564219198	0.682490421982	0.323074953048	0.629509699974	0.556773556268	0.541646834841	0.567098534828	0.68578648321	0.667230973061	0.0	0.748292870588	0.514901044742	0.557123237825	0.658296667881	0.236237316371	0.672141722906	0.614173696091	0.542208671289	0.700667704732	0.453932959031	0.60274879947	0.61724478652	0.663666636666	0.606654327613	0.530430071114	0.99324579277	0.455125379851	0.391318777707	0.73651987773	0.602328678042	0.653217587319	0.581292856176	0.450105744745	0.460387791996	0.584561112264	0.624094234005	0.682466067625	0.656510749327	0.508717054661	0.986761691645	0.99039457576	0.968667729615	0.469218402761	0.484900033602	0.743542075831	0.591374696238
