# Constructed from biom file
#OTU ID	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus_acidocaldarius	431.0	109.0	463.0	82.0	93.0	162.0	187.0	101.0	91.0	74.0	71.0	172.0	157.0	124.0	239.0	203.0	207.0	190.0	138.0	193.0	95.0	120.0	190.0	251.0	74.0	2.0	210.0	327.0	153.0	384.0	184.0	120.0	53.0	400.0	116.0	145.0	51.0	48.0	115.0	1.0	3.0	5.0	187.0	231.0	60.0	174.0
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2.0	1.0	0.0	0.0	0.0	54.0	49.0	245.0	0.0	0.0	0.0	50.0	75.0	33.0	1.0	0.0	2.0	3.0	0.0	36.0	19.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	197.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	13.0	12.0	0.0	1.0
d__Bacteria|p__Acidobacteria|c__Acidobacteria_subdivision_6|f__Vicinamibacteraceae|g__Luteitalea|s__Luteitalea_pratensis	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_roseus	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	2.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
d__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales|f__Solibacteraceae|g__Candidatus_Solibacter|s__Candidatus_Solibacter_usitatus	0.0	0.0	0.0	1.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_hongkongensis	2.0	1.0	1.0	0.0	12.0	3.0	0.0	0.0	5.0	2.0	0.0	1.0	0.0	1.0	1.0	7.0	3.0	1.0	1.0	14.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	4.0	9.0	2.0	2.0	0.0	0.0	6.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	2.0	3.0	1.0	2.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_meyeri	1.0	5.0	0.0	0.0	12.0	5.0	0.0	9.0	9.0	0.0	0.0	7.0	3.0	2.0	1.0	19.0	9.0	3.0	2.0	38.0	1.0	0.0	5.0	0.0	4.0	0.0	8.0	7.0	7.0	6.0	8.0	2.0	1.0	10.0	0.0	9.0	9.0	1.0	4.0	0.0	0.0	1.0	8.0	1.0	3.0	9.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	5.0	4.0	0.0	2.0	23.0	9.0	4.0	12.0	6.0	12.0	6.0	16.0	5.0	7.0	10.0	39.0	4.0	16.0	3.0	40.0	3.0	1.0	14.0	6.0	6.0	0.0	2.0	20.0	181.0	79.0	9.0	10.0	6.0	26.0	3.0	12.0	16.0	2.0	31.0	0.0	0.0	1.0	17.0	10.0	5.0	26.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_pacaensis	2.0	4.0	1.0	3.0	13.0	3.0	1.0	3.0	6.0	2.0	4.0	1.0	4.0	1.0	2.0	5.0	1.0	1.0	1.0	5.0	0.0	1.0	1.0	1.0	1.0	0.0	2.0	4.0	5.0	6.0	2.0	2.0	0.0	2.0	0.0	2.0	4.0	2.0	3.0	0.0	0.0	0.0	7.0	0.0	1.0	5.0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_radicidentis	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
