Taxon	Agile	Amber	Apple	Brave	Cedar	Crown	Dance	Drive	Dwell	Eagle	Earth	Fleet	Giant	Glint	Grace	Honor	Inlet	Joker	Kneel	Knife	Latch	Lemon	Magic	Mover	North	Novel	Ocean	Outer	Overt	Paint	Quiet	Quirk	Roast	Rocky	Shore	Smart	Spark	Storm	Trend	Truce	Unity	Value	Vapor	Water	Woven	Zebra	taxonomy
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Acidilobales
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	432	109	463	82	93	163	187	101	91	74	71	172	158	124	239	204	207	190	138	193	95	120	191	251	75	2	210	328	153	387	184	120	53	400	116	145	51	48	115	1	3	5	187	232	60	174	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales
d__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	1	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0	0	0	1	3	2	0	2	1	1	0	0	1	1	2	6	2	0	4	0	0	0	2	1	0	0	2	0	2	3	5	4	0	0	1	1	0	1	0	0	1	0	4	0	0	1	d__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales	3	1	0	0	2	1	5	3	2	3	1	0	1	0	0	0	0	2	0	1	0	1	0	0	1	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	d__Archaea; p__Euryarchaeota; c__Halobacteria; o__Haloferacales
d__Archaea|p__Euryarchaeota|c__Halobacteria|o__Natrialbales	2	0	1	1	0	5	0	2	4	0	1	0	0	2	2	3	1	1	0	1	1	2	2	0	0	0	1	2	1	3	2	0	1	1	2	0	1	1	3	0	0	0	2	0	0	1	d__Archaea; p__Euryarchaeota; c__Halobacteria; o__Natrialbales
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	5	3	1	1	1	55	53	245	0	2	0	52	77	42	3	2	4	7	1	38	21	1	51	0	1	0	4	1	4	0	23	204	1	7	1	1	2	0	2	1	0	0	17	14	0	2	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales
d__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales	0	1	0	0	4	0	1	1	0	0	2	0	1	1	2	2	0	2	1	0	0	0	1	0	0	0	3	1	1	2	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanocellales	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanocellales
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	2	3	0	1	1	0	1	4	3	1	0	1	0	0	4	2	3	3	1	1	1	0	4	0	2	0	2	3	4	2	0	3	0	3	1	1	0	0	1	0	0	0	1	1	1	1	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanomicrobiales
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	4	5	2	1	1	1	0	2	4	4	1	0	4	2	3	6	3	2	2	1	0	1	6	0	2	0	4	1	3	1	2	1	2	5	1	0	0	4	2	0	0	0	1	4	4	2	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales
d__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales	1	1	0	1	1	1	1	0	0	3	1	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	2	1	1	1	1	0	0	0	0	0	0	2	1	1	0	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales
d__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Archaea; p__Euryarchaeota; c__Thermoplasmata; o__Methanomassiliicoccales
